Date|Book|Security|DayPnL|YTDPnL|MTDPnL|WTDPnL
20190417|MSUSC|RTYM9|4599.99999999997|3264.99999999993|3264.99999999993|3264.99999999993
20190417|FTRUS|DLPH US|2159.29999999998|62994.005|62994.005|62994.005
20190417|FTRUS|ZUO US|615.300000000009|-7417.48339999992|-7417.48339999992|-7417.48339999992
20190417|FTRUS|XBIT US|-1377.64|-12499.3746|-12499.3746|-12499.3746
20190417|FTRUS|CHMA US|-468.72|4412.695|4412.695|4412.695
20190417|FTRUS|DSPG US|439.559999999999|-1346.07000000001|-1346.07000000001|-1346.07000000001
20190417|FTRUS|INSG US|-2705.79000000001|-1858.92790000001|-1858.92790000001|-1858.92790000001
20190417|FTRUS|MEIP US|-2565.15|-3880.595|-3880.595|-3880.595
20190417|FTRUS|MRKR US|-1099.67999999999|-8951.25409999999|-8951.25409999999|-8951.25409999999
20190417|FTRUS|RFL US|333.840000000003|5146.31|5146.31|5146.31
20190417|FTRUS|VBIV US|-451.199999999998|1998.8076|1998.8076|1998.8076
20190417|FTRUS|GALT US|-2807.7356|-11020.9816|-11020.9816|-11020.9816
20190417|FTRUS|MGY US|3527.15999999999|16301.77|16301.77|16301.77
20190417|FTRUS|VRRM US|-341.719999999993|10360.83|10360.83|10360.83
20190417|FTRUS|SIC US|618.470000000001|-1241.01|-1241.01|-1241.01
20190417|FTRUS|BLFS US|-4501.565|-6857.23499999998|-6857.23499999998|-6857.23499999998
20190417|FTRUS|HNGR US|-5250|-3963.76000000001|-3963.76000000001|-3963.76000000001
20190417|FTRUS|ACRX US|-137.200000000003|-3252.161|-3252.161|-3252.161
20190417|FTRUS|APPS US|-1074.64|-2409.35510000001|-2409.35510000001|-2409.35510000001
20190417|FTRUS|TPNL US|6175.57999999999|-20.0500000000102|-20.0500000000102|-20.0500000000102
20190417|FTRUS|MCHX US|-67.0715999999974|2488.3384|2488.3384|2488.3384
20190417|FTRUS|AKTS US|-679.560000000001|2463.26969999998|2463.26969999998|2463.26969999998
20190417|FTRUS|PCMI US|-3219.63|-14416.935|-14416.935|-14416.935
20190417|FTRUS|APYX US|13.44|-14931.7362|-14931.7362|-14931.7362
20190417|FTRUS|AMSC US|-790.080000000001|-3391.84860000001|-3391.84860000001|-3391.84860000001
20190417|FTRUS|ACER US|-3014.64|976.64000000001|976.64000000001|976.64000000001
20190417|FTRUS|BPI US|0|4181.59|4181.59|4181.59
20190417|FTRUS|KALV US|-870.119999999999|-4720.46499999999|-4720.46499999999|-4720.46499999999
20190417|FTRUS|GNE US|521.399999999998|-1192.33399999996|-1192.33399999996|-1192.33399999996
20190417|FTRUS|ADXS US|0|-24474.5131|-24474.5131|-24474.5131
20190417|FTRUS|KRYS US|-1737.89000000001|-4821.94300000001|-4821.94300000001|-4821.94300000001
20190417|FTRUS|ROAN US|-4174.56|-14738.1664|-14738.1664|-14738.1664
20190417|FTRUS|AFIN US|-4024.4853|-11017.10993|-11017.10993|-11017.10993
20190417|FTRUS|ALOT US|40.2150000000002|2527.6754|2527.6754|2527.6754
20190417|FTRUS|ALTM US|-81.3849999999983|-7232.97499999998|-7232.97499999998|-7232.97499999998
20190417|FTRUS|AMTB US|157.95|-725.91|-725.91|-725.91
20190417|FTRUS|APPN US|-402.600000000015|-12599.5409999999|-12599.5409999999|-12599.5409999999
20190417|FTRUS|AQMS US|0|-187.241100000006|-187.241100000006|-187.241100000006
20190417|FTRUS|ARES US|-2125.42000000002|-1743.62499999996|-1743.62499999996|-1743.62499999996
20190417|FTRUS|AVCO US|3419.7642|-10822.7182|-10822.7182|-10822.7182
